Year,Battery Cost ($/MW)
2020,813519.895561
2021,739859.895561
2022,655039.895561
2023,568609.895561
2024,484549.895561
2025,401109.895561
2026,365883.895561
2027,331657.895561
2028,297914.895561
2029,264564.895561
2030,231069.895561
2031,222074.895561
2032,212793.895561
2033,203481.895561
2034,194086.895561
2035,184693.895561
2036,175167.895561
2037,165597.895561
2038,156000.895561
2039,146367.895561
2040,136724.895561
2041,127056.895561
2042,117376.895561
2043,107673.895561
2044,97968.895561
2045,88257.895561
2046,78537.895561
2047,68811.895561
2048,59081.895561
2049,49339.895561
2050,39602.895561
